date;Document Number;Name;Item;Sum of Quantity;Sum of Amount;Status;Location
26/03/2025;DOC1;Yotz;Server License;14;6398;Paid In Full;California Office
27/05/2025;DOC2;Pixoboo;Cloud Subscription;1;174;Paid In Full;New York Warehouse
7/05/2025;DOC3;Mydeo;Access Point;9;1467;Paid In Full;New York Warehouse
19/04/2025;DOC4;Kaymbo;Switch;15;3990;Open;New York Warehouse
24/03/2025;DOC5;Rhyloo;Cloud Subscription;17;2958;Voided;Texas DC
24/10/2025;DOC6;Fivechat;Access Point;5;815;Voided;California Office
29/08/2025;DOC7;Buzzbean;Access Point;10;1630;Paid In Full;California Office
20/06/2025;DOC8;Wikivu;Firewall;14;5824;Open;Remote
11/06/2025;DOC9;Skynoodle;Router;17;4913;Paid In Full;California Office
6/09/2025;DOC10;Zazio;Router;19;5491;Paid In Full;Texas DC
3/03/2025;DOC11;Yata;Cloud Subscription;11;1914;Voided;New York Warehouse
16/04/2025;DOC12;Demivee;Switch;14;3724;Open;Texas DC
29/11/2025;DOC13;Wikizz;Firewall;14;5824;Paid In Full;Remote
7/11/2025;DOC14;Eazzy;Router;9;2601;Paid In Full;New York Warehouse
29/11/2025;DOC15;Riffpedia;Server License;9;4113;Paid In Full;California Office
7/02/2025;DOC16;Brainlounge;Cloud Subscription;13;2262;Voided;Remote
26/09/2025;DOC17;Vitz;Switch;8;2128;Paid In Full;Remote
12/03/2025;DOC18;Edgepulse;Cloud Subscription;13;2262;Open;Remote
11/07/2025;DOC19;Twitterbridge;Cloud Subscription;2;348;Paid In Full;New York Warehouse
20/05/2025;DOC20;Realfire;Firewall;20;8320;Paid In Full;Remote
14/05/2025;DOC21;Devpoint;Firewall;5;2080;Open;Remote
1/09/2025;DOC22;Vitz;Access Point;12;1956;Voided;Texas DC
28/10/2025;DOC23;Skilith;Router;18;5202;Open;Remote
15/11/2025;DOC24;Quinu;Router;14;4046;Voided;Texas DC
12/06/2025;DOC25;Twinte;Router;3;867;Paid In Full;Remote
15/01/2025;DOC26;Zoomzone;Firewall;12;4992;Voided;California Office
10/10/2025;DOC27;Meemm;Access Point;6;978;Voided;New York Warehouse
3/11/2025;DOC28;Dabfeed;Router;14;4046;Paid In Full;Texas DC
19/03/2025;DOC29;Livetube;Cloud Subscription;12;2088;Paid In Full;California Office
3/11/2025;DOC30;Edgepulse;Access Point;5;815;Open;Remote
28/09/2025;DOC31;Voomm;Switch;14;3724;Paid In Full;California Office
18/07/2025;DOC32;Skyvu;Cloud Subscription;15;2610;Open;California Office
12/04/2025;DOC33;Browsecat;Cloud Subscription;15;2610;Open;Texas DC
25/02/2025;DOC34;Lajo;Firewall;5;2080;Voided;New York Warehouse
6/05/2025;DOC35;Yacero;Switch;13;3458;Paid In Full;New York Warehouse
19/11/2025;DOC36;Jabberstorm;Server License;1;457;Paid In Full;Remote
2/10/2025;DOC37;Feedfire;Cloud Subscription;18;3132;Paid In Full;Texas DC
29/05/2025;DOC38;Realpoint;Switch;11;2926;Paid In Full;New York Warehouse
9/10/2025;DOC39;Skynoodle;Switch;15;3990;Paid In Full;Texas DC
14/10/2025;DOC40;Skyndu;Switch;18;4788;Voided;Remote
15/01/2025;DOC41;Wordpedia;Cloud Subscription;7;1218;Open;New York Warehouse
17/09/2025;DOC42;Realcube;Server License;5;2285;Voided;California Office
10/09/2025;DOC43;Babbleopia;Firewall;9;3744;Voided;Remote
22/02/2025;DOC44;Jetpulse;Router;10;2890;Paid In Full;New York Warehouse
19/07/2025;DOC45;Ainyx;Switch;18;4788;Paid In Full;Remote
5/08/2025;DOC46;Tazz;Access Point;11;1793;Paid In Full;Remote
