transaction_date,transaction_id,customer_name,item_name,quantity,amount,transaction_status,location
2025-03-26,DOC1,Yotz,Server License,14,6398.0,Paid In Full,California Office
2025-05-27,DOC2,Pixoboo,Cloud Subscription,1,174.0,Paid In Full,New York Warehouse
2025-05-07,DOC3,Mydeo,Access Point,9,1467.0,Paid In Full,New York Warehouse
2025-04-19,DOC4,Kaymbo,Switch,15,3990.0,Open,New York Warehouse
2025-03-24,DOC5,Rhyloo,Cloud Subscription,17,2958.0,Voided,Texas DC
2025-10-24,DOC6,Fivechat,Access Point,5,815.0,Voided,California Office
2025-08-29,DOC7,Buzzbean,Access Point,10,1630.0,Paid In Full,California Office
2025-06-20,DOC8,Wikivu,Firewall,14,5824.0,Open,Remote
2025-06-11,DOC9,Skynoodle,Router,17,4913.0,Paid In Full,California Office
2025-09-06,DOC10,Zazio,Router,19,5491.0,Paid In Full,Texas DC
2025-03-03,DOC11,Yata,Cloud Subscription,11,1914.0,Voided,New York Warehouse
2025-04-16,DOC12,Demivee,Switch,14,3724.0,Open,Texas DC
2025-11-29,DOC13,Wikizz,Firewall,14,5824.0,Paid In Full,Remote
2025-11-07,DOC14,Eazzy,Router,9,2601.0,Paid In Full,New York Warehouse
2025-11-29,DOC15,Riffpedia,Server License,9,4113.0,Paid In Full,California Office
2025-02-07,DOC16,Brainlounge,Cloud Subscription,13,2262.0,Voided,Remote
2025-09-26,DOC17,Vitz,Switch,8,2128.0,Paid In Full,Remote
2025-03-12,DOC18,Edgepulse,Cloud Subscription,13,2262.0,Open,Remote
2025-07-11,DOC19,Twitterbridge,Cloud Subscription,2,348.0,Paid In Full,New York Warehouse
2025-05-20,DOC20,Realfire,Firewall,20,8320.0,Paid In Full,Remote
2025-05-14,DOC21,Devpoint,Firewall,5,2080.0,Open,Remote
2025-09-01,DOC22,Vitz,Access Point,12,1956.0,Voided,Texas DC
2025-10-28,DOC23,Skilith,Router,18,5202.0,Open,Remote
2025-11-15,DOC24,Quinu,Router,14,4046.0,Voided,Texas DC
2025-06-12,DOC25,Twinte,Router,3,867.0,Paid In Full,Remote
2025-01-15,DOC26,Zoomzone,Firewall,12,4992.0,Voided,California Office
2025-10-10,DOC27,Meemm,Access Point,6,978.0,Voided,New York Warehouse
2025-11-03,DOC28,Dabfeed,Router,14,4046.0,Paid In Full,Texas DC
2025-03-19,DOC29,Livetube,Cloud Subscription,12,2088.0,Paid In Full,California Office
2025-11-03,DOC30,Edgepulse,Access Point,5,815.0,Open,Remote
2025-09-28,DOC31,Voomm,Switch,14,3724.0,Paid In Full,California Office
2025-07-18,DOC32,Skyvu,Cloud Subscription,15,2610.0,Open,California Office
2025-04-12,DOC33,Browsecat,Cloud Subscription,15,2610.0,Open,Texas DC
2025-02-25,DOC34,Lajo,Firewall,5,2080.0,Voided,New York Warehouse
2025-05-06,DOC35,Yacero,Switch,13,3458.0,Paid In Full,New York Warehouse
2025-11-19,DOC36,Jabberstorm,Server License,1,457.0,Paid In Full,Remote
2025-10-02,DOC37,Feedfire,Cloud Subscription,18,3132.0,Paid In Full,Texas DC
2025-05-29,DOC38,Realpoint,Switch,11,2926.0,Paid In Full,New York Warehouse
2025-10-09,DOC39,Skynoodle,Switch,15,3990.0,Paid In Full,Texas DC
2025-10-14,DOC40,Skyndu,Switch,18,4788.0,Voided,Remote
2025-01-15,DOC41,Wordpedia,Cloud Subscription,7,1218.0,Open,New York Warehouse
2025-09-17,DOC42,Realcube,Server License,5,2285.0,Voided,California Office
2025-09-10,DOC43,Babbleopia,Firewall,9,3744.0,Voided,Remote
2025-02-22,DOC44,Jetpulse,Router,10,2890.0,Paid In Full,New York Warehouse
2025-07-19,DOC45,Ainyx,Switch,18,4788.0,Paid In Full,Remote
